date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:58:00	25/25	---M--	200	added ('OK')	text/plain	date:Wed,%2017%20Jan%202024%2017:46:12%20GMT	https://dcmedya.com/robots.txt		(from )
22:58:02	9899/9899	---MCZ	200	added ('OK')	text/html	date:Fri,%2019%20Jan%202024%2019:58:02%20GMT	https://dcmedya.com/	C:/My%20Web%20Sites/sssss/dcmedya.com/index.html	(from )
22:58:03	1416/1416	---M--	200	added ('OK')	image/png	date:Thu,%2018%20Jan%202024%2009:22:18%20GMT	https://dcmedya.com/assets/uploads/sites/1705569738_24291f48b912ae608ebb.png	C:/My%20Web%20Sites/sssss/dcmedya.com/assets/uploads/sites/1705569738_24291f48b912ae608ebb.png	(from https://dcmedya.com/)
22:58:04	183893/183893	---M-Z	200	added ('OK')	text/css	date:Wed,%2017%20Jan%202024%2021:02:05%20GMT	https://dcmedya.com/assets/css/panel/osweld/bootstrap.min.css	C:/My%20Web%20Sites/sssss/dcmedya.com/assets/css/panel/osweld/bootstrap.min.css	(from https://dcmedya.com/)
22:58:05	83709/83709	---M-Z	200	added ('OK')	text/css	date:Wed,%2017%20Jan%202024%2021:02:05%20GMT	https://dcmedya.com/assets/css/panel/osweld/style.css	C:/My%20Web%20Sites/sssss/dcmedya.com/assets/css/panel/osweld/style.css	(from https://dcmedya.com/)
22:58:07	21162/21162	---M-Z	200	added ('OK')	text/css	date:Wed,%2017%20Jan%202024%2017:46:35%20GMT	https://dcmedya.com/assets/js/datepicker/css/bootstrap-datepicker3.min.css	C:/My%20Web%20Sites/sssss/dcmedya.com/assets/js/datepicker/css/bootstrap-datepicker3.min.css	(from https://dcmedya.com/)
22:58:13	174333/174333	---MCZ	200	added ('OK')	text/css	etag:W/%225fa3cb41-2a8fd%22	https://cdn.mypanel.link/css/font-awesome/css/all.min.css	C:/My%20Web%20Sites/sssss/cdn.mypanel.link/css/font-awesome/css/all.min.css	(from https://dcmedya.com/)
22:58:18	110438/110438	---M-Z	200	added ('OK')	text/css	etag:W/%221af66-MA7aTWKCoG0FYjklj9PTw0TfSFM%22	https://cdn.jsdelivr.net/npm/remixicon@2.5.0/fonts/remixicon.css	C:/My%20Web%20Sites/sssss/cdn.jsdelivr.net/npm/remixicon@2.5.0/fonts/remixicon.css	(from https://dcmedya.com/)
22:58:21	57/57	---MCZ	302	error ('Found')	text/plain	date:Fri,%2019%20Jan%202024%2019:58:20%20GMT	https://unpkg.com/swiper@8/swiper-bundle.min.css	C:/My%20Web%20Sites/sssss/unpkg.com/swiper@8/swiper-bundle.min.6.delayed	(from https://dcmedya.com/)
22:58:24	16493/16493	---MCZ	200	added ('OK')	text/css	etag:%22406d-rwCOh5O6dcNGNg6U6W482jFM4n8%22	https://unpkg.com/swiper@8.4.7/swiper-bundle.min.css	C:/My%20Web%20Sites/sssss/unpkg.com/swiper@8.4.7/swiper-bundle.min.css	(from https://dcmedya.com/)
22:58:28	89501/89501	---M-Z	200	added ('OK')	application/javascript	etag:W/%2228feccc0-15d9d%22	https://code.jquery.com/jquery-3.6.0.min.js	C:/My%20Web%20Sites/sssss/code.jquery.com/jquery-3.6.0.min.js	(from https://dcmedya.com/)
